Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,source_file,Date,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,,,,,,,Subreport 16,dgr16-2022-01-01.xls,2022-01-01,,,
,,,,,,,,,,,,,,,dgr16-2022-01-01.xls,2022-01-01,,,
,,Details Of Capacity (mw) Utilization For Power Generation  01-Jan-2022,,,,,,,,,,,,,dgr16-2022-01-01.xls,2022-01-01,,,
,Particulars,Monitored Capacity(MW) ( As on 01-Jan-2022),Capacity under long outage(MW),New Capacity under stabilization/Completion of balance works,Capacity (MW),,,,Capacity outage as percent of Monitered,Capacity on Line(MW),Sum of Max. Power generated (MW),,Max. Power output as % of,,dgr16-2022-01-01.xls,2022-01-01,,,
,,,,,PM,FO,Others,Total,,,Gross,Net,Capacity on line,Monitered,dgr16-2022-01-01.xls,2022-01-01,,,
,THERMAL,,,,,,,,,,,,,,dgr16-2022-01-01.xls,2022-01-01,,,
,Coal Lignite,209809.5,8473,6307,10119,34566.5,7955,52640.5,25.09,157169,150992.57299999995,137403.24142999997,87.42388220959602,65.48952331996405,dgr16-2022-01-01.xls,2022-01-01,,,
,Coal Lignite,0,,,0,0,0,0,0,0,,,0,0,dgr16-2022-01-01.xls,2022-01-01,,,
,Gas Liquid,24869.508999999995,8943.12,,326.40000000000003,6744.085000000001,10197.079000000002,17267.564000000002,69.43,7601.944999999992,4279.71,4194.1158,55.17161463283414,16.864489765358858,dgr16-2022-01-01.xls,2022-01-01,,,
,Diesel,509.709,,,,,,,,509.709,46.05,45.129,8.853875446578341,8.853875446578341,dgr16-2022-01-01.xls,2022-01-01,,,
,Total  THERMAL,235188.718,17416.120000000003,6307,10445.4,41310.585,18152.079,69908.064,29.724242129675627,165280.654,155318.33299999993,141642.48622999995,85.69816418441806,60.225034361554684,dgr16-2022-01-01.xls,2022-01-01,,,
,NUCLEAR,,,,,,,,,,,,,,dgr16-2022-01-01.xls,2022-01-01,,,
, Nuclear,6780,640,,320,320,0,640,9.44,6140,6242.148,5524.30098,89.97232866449511,81.47936548672567,dgr16-2022-01-01.xls,2022-01-01,,,
,Total  NUCLEAR,6780,640,,320,320,0,640,9.43952802359882,6140,6242.148,5524.30098,89.97232866449511,81.47936548672567,dgr16-2022-01-01.xls,2022-01-01,,,
,HYDRO,,,,,,,,,,,,,,dgr16-2022-01-01.xls,2022-01-01,,,
, Hydro,46512.22,3392.75,,2375.65,1959.2,4416.1,8750.95,18.81,37761.270000000004,28781.157999999996,28493.346419999994,75.45653634001185,61.259914964282494,dgr16-2022-01-01.xls,2022-01-01,,,
,Total  HYDRO,46512.22,3392.75,,2375.65,1959.2,4416.1,8750.95,18.814302993922887,37761.270000000004,28781.157999999996,28493.346419999994,75.45653634001185,61.259914964282494,dgr16-2022-01-01.xls,2022-01-01,,,
,Total,288480.93799999997,21448.870000000003,6307,13141.05,43589.784999999996,22568.179000000004,79299.014,27.48847620566181,209181.924,190341.6389999999,175660.13362999994,83.97481497015006,60.89141793833184,dgr16-2022-01-01.xls,2022-01-01,,,
