Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,source_file,Date,Unnamed: 9,Unnamed: 10
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,Subreport-17,dgr17-2022-01-01.xls,2022-01-01,,
,,,,,,,,,dgr17-2022-01-01.xls,2022-01-01,,
,,Category Wise- Fuel Wise Generation. 01-Jan-2022,,,,,,,dgr17-2022-01-01.xls,2022-01-01,,
,Particulars,Monitored Capacity (MW) As ON 01-Jan-2022,Today's,,During The Current month ,,During The Year April 1 to Till Date,,dgr17-2022-01-01.xls,2022-01-01,,
,,,Program (MU),Actual (MU),Program (MU),Actual (MU),Program (MU),Actual (MU),dgr17-2022-01-01.xls,2022-01-01,,
,1,2,3,4,5,6,7,8,dgr17-2022-01-01.xls,2022-01-01,,
,THERMAL,,,,,,,,dgr17-2022-01-01.xls,2022-01-01,,
,COAL,203189.5,2970.190000000002,2861.3800000000015,2970.190000000002,2861.3800000000015,803542.1899999997,762851.5899999993,dgr17-2022-01-01.xls,2022-01-01,,
,LIGNITE,6620,102.50000000000003,105.16999999999999,102.50000000000003,105.16999999999999,26637.500000000004,27474.73,dgr17-2022-01-01.xls,2022-01-01,,
,NATURAL GAS,23912.928999999996,127.15999999999995,81.34000000000005,127.15999999999995,81.34000000000005,35619.159999999974,29428.459999999995,dgr17-2022-01-01.xls,2022-01-01,,
,DIESEL,509.70899999999995,0.42,0.36,0.42,0.36,113.42,78.26,dgr17-2022-01-01.xls,2022-01-01,,
,HIGH SPEED DIESEL,255,0,0,0,0,0,0,dgr17-2022-01-01.xls,2022-01-01,,
,NAPTHA,701.5799999999999,0,0,0,0,9,0,dgr17-2022-01-01.xls,2022-01-01,,
,Total THERMAL,235188.718,3200.270000000002,3048.250000000002,3200.270000000002,3048.250000000002,865921.2699999997,819833.0399999992,dgr17-2022-01-01.xls,2022-01-01,,
,NUCLEAR,,,,,,,,dgr17-2022-01-01.xls,2022-01-01,,
,NUCLEAR,6780,108.76000000000002,146.67000000000002,108.76000000000002,146.67000000000002,33712.759999999995,34913.93999999999,dgr17-2022-01-01.xls,2022-01-01,,
,HYDRO,,,,,,,,dgr17-2022-01-01.xls,2022-01-01,,
,HYDRO,46512.22,260.10999999999973,237.1899999999998,260.10999999999973,237.1899999999998,124685.11000000003,126632.17999999998,dgr17-2022-01-01.xls,2022-01-01,,
,BHUTAN IMP.,0,7.279999999999999,1.59,7.279999999999999,1.59,7485.280000000001,7279.709999999999,dgr17-2022-01-01.xls,2022-01-01,,
,Total,288480.93799999997,3576.420000000002,3433.7000000000016,3576.420000000002,3433.7000000000016,1031804.4199999997,988658.8699999991,dgr17-2022-01-01.xls,2022-01-01,,
,,,,,,,,,dgr17-2022-01-01.xls,2022-01-01,,
,https://npp.gov.in   2022/01/04 16:35:19,,,,,,,PAGE 1,dgr17-2022-01-01.xls,2022-01-01,,
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,Subreport-17,dgr17-2022-01-02.xls,2022-01-02,,
,,,,,,,,,dgr17-2022-01-02.xls,2022-01-02,,
,,Category Wise- Fuel Wise Generation. 02-Jan-2022,,,,,,,dgr17-2022-01-02.xls,2022-01-02,,
,Particulars,Monitored Capacity (MW) As ON 02-Jan-2022,Today's,,During The Current month ,,During The Year April 1 to Till Date,,dgr17-2022-01-02.xls,2022-01-02,,
,,,Program (MU),Actual (MU),Program (MU),Actual (MU),Program (MU),Actual (MU),dgr17-2022-01-02.xls,2022-01-02,,
,1,2,3,4,5,6,7,8,dgr17-2022-01-02.xls,2022-01-02,,
,THERMAL,,,,,,,,dgr17-2022-01-02.xls,2022-01-02,,
,COAL,203189.5,2970.190000000002,2758.6499999999987,5940.380000000004,5620.0300000000025,806512.3799999997,765610.24,dgr17-2022-01-02.xls,2022-01-02,,
,LIGNITE,6620,102.50000000000003,107.97999999999998,205.00000000000006,213.15,26740.000000000004,27582.710000000003,dgr17-2022-01-02.xls,2022-01-02,,
,NATURAL GAS,23912.928999999996,127.15999999999995,76.64,254.3199999999999,157.98,35746.32,29505.09999999999,dgr17-2022-01-02.xls,2022-01-02,,
,DIESEL,509.70899999999995,0.42,0.36,0.84,0.72,113.84,78.62,dgr17-2022-01-02.xls,2022-01-02,,
,HIGH SPEED DIESEL,255,0,0,0,0,0,0,dgr17-2022-01-02.xls,2022-01-02,,
,NAPTHA,701.5799999999999,0,0,0,0,9,0,dgr17-2022-01-02.xls,2022-01-02,,
,Total THERMAL,235188.718,3200.270000000002,2943.6299999999987,6400.540000000004,5991.880000000002,869121.5399999996,822776.6699999999,dgr17-2022-01-02.xls,2022-01-02,,
,NUCLEAR,,,,,,,,dgr17-2022-01-02.xls,2022-01-02,,
,NUCLEAR,6780,108.76000000000002,138.91999999999996,217.52000000000004,285.59,33821.52,35052.86,dgr17-2022-01-02.xls,2022-01-02,,
,HYDRO,,,,,,,,dgr17-2022-01-02.xls,2022-01-02,,
,HYDRO,46512.22,260.10999999999973,221.2999999999999,520.2199999999995,458.4899999999999,124945.22000000009,126853.48000000007,dgr17-2022-01-02.xls,2022-01-02,,
,BHUTAN IMP.,0,7.279999999999999,1.44,14.559999999999999,3.0300000000000002,7492.56,7281.15,dgr17-2022-01-02.xls,2022-01-02,,
,Total,288480.93799999997,3576.420000000002,3305.2899999999986,7152.840000000004,6738.990000000002,1035380.8399999997,991964.16,dgr17-2022-01-02.xls,2022-01-02,,
,,,,,,,,,dgr17-2022-01-02.xls,2022-01-02,,
,https://npp.gov.in   2022/01/04 17:26:06,,,,,,,PAGE 1,dgr17-2022-01-02.xls,2022-01-02,,
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,Subreport-17,dgr17-2022-01-03.xls,2022-01-03,,
,,,,,,,,,dgr17-2022-01-03.xls,2022-01-03,,
,,Category Wise- Fuel Wise Generation. 03-Jan-2022,,,,,,,dgr17-2022-01-03.xls,2022-01-03,,
,Particulars,Monitored Capacity (MW) As ON 03-Jan-2022,Today's,,During The Current month ,,During The Year April 1 to Till Date,,dgr17-2022-01-03.xls,2022-01-03,,
,,,Program (MU),Actual (MU),Program (MU),Actual (MU),Program (MU),Actual (MU),dgr17-2022-01-03.xls,2022-01-03,,
,1,2,3,4,5,6,7,8,dgr17-2022-01-03.xls,2022-01-03,,
,THERMAL,,,,,,,,dgr17-2022-01-03.xls,2022-01-03,,
,COAL,203189.5,2963.690000000002,2931.8500000000017,8904.07,8551.879999999996,809476.0699999995,768542.0899999999,dgr17-2022-01-03.xls,2022-01-03,,
,LIGNITE,6620,105.16000000000003,107.45,310.16,320.6,26845.160000000003,27690.160000000003,dgr17-2022-01-03.xls,2022-01-03,,
