Date,Hour,City,Solar_MW,Wind_MW
2025-01-01,0,Ahmedabad,0.0,1.428
2025-01-01,1,Ahmedabad,0.006,0.569
2025-01-01,2,Ahmedabad,0.018,0.592
2025-01-01,3,Ahmedabad,0.04,0.452
2025-01-01,4,Ahmedabad,0.074,1.077
2025-01-01,5,Ahmedabad,0.112,0.22
2025-01-01,6,Ahmedabad,0.138,1.489
2025-01-01,7,Ahmedabad,0.138,0.529
2025-01-01,8,Ahmedabad,0.112,0.864
2025-01-01,9,Ahmedabad,0.074,0.674
2025-01-01,10,Ahmedabad,0.04,1.347
2025-01-01,11,Ahmedabad,0.018,0.257
2025-01-01,12,Ahmedabad,0.006,0.652
2025-01-01,13,Ahmedabad,0.0,0.634
2025-01-01,14,Ahmedabad,0.0,1.193
2025-01-01,15,Ahmedabad,0.0,0.445
2025-01-01,16,Ahmedabad,0.0,0.698
2025-01-01,17,Ahmedabad,0.0,0.499
2025-01-01,18,Ahmedabad,0.0,0.767
2025-01-01,19,Ahmedabad,0.0,0.963
2025-01-01,20,Ahmedabad,0.0,0.445
2025-01-01,21,Ahmedabad,0.0,1.198
2025-01-01,22,Ahmedabad,0.0,1.092
2025-01-01,23,Ahmedabad,0.0,0.932
2025-01-01,0,Bengaluru,0.0,2.0
2025-01-01,1,Bengaluru,0.008,2.0
2025-01-01,2,Bengaluru,0.023,2.0
2025-01-01,3,Bengaluru,0.053,2.0
2025-01-01,4,Bengaluru,0.099,2.0
2025-01-01,5,Bengaluru,0.15,1.578
2025-01-01,6,Bengaluru,0.185,2.0
2025-01-01,7,Bengaluru,0.185,2.0
2025-01-01,8,Bengaluru,0.15,2.0
2025-01-01,9,Bengaluru,0.099,2.0
2025-01-01,10,Bengaluru,0.053,2.0
2025-01-01,11,Bengaluru,0.023,1.789
2025-01-01,12,Bengaluru,0.008,2.0
2025-01-01,13,Bengaluru,0.0,2.0
2025-01-01,14,Bengaluru,0.0,2.0
2025-01-01,15,Bengaluru,0.0,2.0
2025-01-01,16,Bengaluru,0.0,2.0
2025-01-01,17,Bengaluru,0.0,2.0
2025-01-01,18,Bengaluru,0.0,2.0
2025-01-01,19,Bengaluru,0.0,2.0
2025-01-01,20,Bengaluru,0.0,2.0
2025-01-01,21,Bengaluru,0.0,2.0
2025-01-01,22,Bengaluru,0.0,2.0
2025-01-01,23,Bengaluru,0.0,2.0
2025-01-01,0,Delhi,0.0,1.367
2025-01-01,1,Delhi,0.004,0.542
2025-01-01,2,Delhi,0.012,0.564
2025-01-01,3,Delhi,0.028,0.43
2025-01-01,4,Delhi,0.053,1.03
2025-01-01,5,Delhi,0.08,0.209
2025-01-01,6,Delhi,0.098,1.426
2025-01-01,7,Delhi,0.098,0.504
2025-01-01,8,Delhi,0.08,0.825
