Source,NR,WR,SR,ER,NER,All India,% Share,Date
Coal,611.0,1375.0,649.0,645.0,10.0,3290.0,76,2022-01-01
Lignite,27.0,19.0,61.0,0.0,0.0,108.0,2,2022-01-01
Hydro,126.0,29.0,76.0,26.0,8.0,265.0,6,2022-01-01
Nuclear,25.0,43.0,76.0,0.0,0.0,144.0,3,2022-01-01
"Gas, Naptha & Diesel",3.0,3.0,1.0,0.0,29.0,42.0,1,2022-01-01
"RES (Wind, Solar, Biomass & Others)",168.0,119.0,210.0,5.0,1.0,502.0,12,2022-01-01
Total,17841.0,30753.0,15518.0,5568.0,7716.0,70456.0,100,2022-01-01
Coal,566.0,1196.0,494.0,537.0,10.0,2804.0,76,2022-01-02
Lignite,24.0,15.0,40.0,0.0,0.0,79.0,2,2022-01-02
Nuclear,32.0,33.0,70.0,0.0,0.0,135.0,4,2022-01-02
"Gas, Naptha & Diesel",15.0,11.0,10.0,0.0,26.0,62.0,2,2022-01-02
"RES (Wind, Solar, Biomass & Others)",97.0,103.0,172.0,4.0,0.0,377.0,10,2022-01-02
Total,839.0,1389.0,863.0,566.0,46.0,3703.0,100,2022-01-02
Total,18341.0,32438.0,16145.0,4768.0,716.0,72468.0,100,
Coal,514.0,1162.0,466.0,536.0,8.0,2686.0,5,2022-01-03
Lignite,24.0,15.0,39.0,0.0,0.0,78.0,2,2022-01-03
Hydro,106.0,29.0,65.0,20.0,10.0,230.0,6,2022-01-03
Nuclear,33.0,25.0,70.0,0.0,0.0,127.0,4,2022-01-03
"Gas, Naptha & Diesel",15.0,10.0,9.0,0.0,26.0,60.0,2,2022-01-03
"RES (Wind, Solar, Biomass & Others)",108.0,94.0,188.0,5.0,0.0,395.0,11,2022-01-03
Total,800.0,1334.0,837.0,561.0,44.0,3576.0,100,2022-01-03
Total,17932.0,30166.0,15645.0,5743.0,7716.0,70261.0,100,
Coal,574.0,1227.0,515.0,540.0,9.0,2867.0,76,2022-01-04
Lignite,24.0,14.0,40.0,0.0,0.0,78.0,2,2022-01-04
Nuclear,33.0,20.0,70.0,0.0,0.0,123.0,3,2022-01-04
"RES (Wind, Solar, Biomass & Others)",103.0,79.0,179.0,5.0,0.0,367.0,10,2022-01-04
Total,854.0,1386.0,907.0,569.0,46.0,3761.0,100,2022-01-04
Total,15961.0,30730.0,16025.0,6133.0,746.0,69594.0,100,
Coal,596.0,1295.0,539.0,550.0,9.0,2990.0,78,2022-01-05
Lignite,25.0,14.0,40.0,0.0,0.0,79.0,2,2022-01-05
Hydro,107.0,34.0,86.0,22.0,10.0,260.0,7,2022-01-05
Nuclear,33.0,21.0,70.0,0.0,0.0,123.0,3,2022-01-05
"Gas, Naptha & Diesel",13.0,9.0,9.0,0.0,24.0,56.0,1,2022-01-05
"RES (Wind, Solar, Biomass & Others)",76.0,63.0,187.0,5.0,0.0,331.0,9,2022-01-05
Total,850.0,1437.0,931.0,577.0,44.0,3839.0,100,2022-01-05
Total,16413.0,31159.0,17015.0,6993.0,746.0,72325.0,100,
Coal,603.0,1294.0,541.0,532.0,10.0,2980.0,79,2022-01-06
Lignite,24.0,12.0,35.0,0.0,0.0,71.0,2,2022-01-06
Hydro,107.0,31.0,95.0,22.0,10.0,264.0,7,2022-01-06
Nuclear,33.0,21.0,70.0,0.0,0.0,124.0,3,2022-01-06
"Gas, Naptha & Diesel",16.0,8.0,9.0,0.0,25.0,59.0,2,2022-01-06
"RES (Wind, Solar, Biomass & Others)",52.0,53.0,167.0,5.0,0.0,278.0,7,2022-01-06
Total,835.0,1420.0,917.0,559.0,44.0,3775.0,100,2022-01-06
Total,17733.0,30199.0,17705.0,7048.0,705.0,73389.0,100,
Lignite,21.0,11.0,35.0,0.0,0.0,67.0,2,
Hydro,104.0,33.0,97.0,23.0,10.0,267.0,7,
"Gas, Naptha & Diesel",15.0,8.0,9.0,0.0,25.0,57.0,2,
"RES (Wind, Solar, Biomass & Others)",60.0,42.0,175.0,5.0,0.0,282.0,8,
Total,822.0,1367.0,901.0,563.0,45.0,3698.0,100,
Total,18338.0,31376.0,16195.0,4238.0,705.0,70852.0,100,
Coal,519.0,1190.0,518.0,541.0,7.0,2775.0,78,2022-01-07
Lignite,18.0,11.0,38.0,0.0,0.0,66.0,2,2022-01-07
Hydro,107.0,23.0,93.0,22.0,10.0,255.0,7,2022-01-07
Nuclear,33.0,21.0,49.0,0.0,0.0,103.0,3,2022-01-07
"Gas, Naptha & Diesel",14.0,8.0,9.0,0.0,26.0,57.0,2,2022-01-07
"RES (Wind, Solar, Biomass & Others)",78.0,73.0,147.0,5.0,0.0,303.0,9,2022-01-07
Total,769.0,1326.0,853.0,567.0,43.0,3558.0,100,2022-01-07
Total,18657.0,30936.0,17195.0,5808.0,695.0,73290.0,100,
Coal,508.0,1144.0,474.0,528.0,1.0,2662.0,7,2022-01-08
Lignite,18.0,14.0,36.0,0.0,0.0,68.0,2,2022-01-08
Hydro,99.0,22.0,83.0,25.0,10.0,238.0,7,2022-01-08
Nuclear,33.0,22.0,64.0,0.0,0.0,119.0,3,2022-01-08
"Gas, Naptha & Diesel",15.0,8.0,9.0,0.0,25.0,57.0,2,2022-01-08
