State,Max Demand Met (MW),Shortage (MW),Energy Met (MU),Schedule (MU),OD/UD (MW),Max OD (MW),Energy Shortage (MU),Date
Punjab,8205,0,148.0,54.6,0.1,104,0.0,2022-01-01
Haryana,6702,0,118.4,71.8,-0.8,64,0.0,2022-01-01
Rajasthan,13008,0,249.0,69.5,2.4,236,0.34,2022-01-01
Delhi,3187,0,61.0,60.4,-1.3,168,0.0,2022-01-01
Uttarakhand,1805,0,31.2,22.8,0.2,142,0.15,2022-01-01
HP.,1482,0,30.3,19.1,-0.2,46,0.0,2022-01-01
J&K(UT) & Ladakh(UT),2604,0,52.9,46.8,-1.2,106,0.0,2022-01-01
Chandigarh,183,0,3.2,3.3,0.1,19,0.0,2022-01-01
Chhattisgarh,4752,0,105.8,56.2,-1.6,262,0.0,2022-01-01
Guiarat,16634,0,345.2,203.6,4.9,453,0.0,2022-01-01
MP,11114,0,215.5,103.3,-3.6,429,0.0,2022-01-01
Maharashtra,26746,0,550.6,175.7,-0.9,683,0.0,2022-01-01
Goa,686,0,13.0,13.5,-0.6,53,0.0,2022-01-01
DNHDDPDCL,1129,0,22.2,22.8,-0.6,41,0.0,2022-01-01
AMNSIL,818,0,17.6,8.6,0.0,261,0.0,2022-01-01
BALCO,519,0,12.4,12.4,0.0,514,0.0,2022-01-01
Andhra Pradesh,11514,0,223.8,86.5,0.1,598,0.0,2022-01-01
Telangana,14523,0,291.9,157.1,1.2,647,0.0,2022-01-01
Karnataka,15352,0,281.6,113.2,1.2,1059,0.0,2022-01-01
Kerala,4255,0,87.7,69.7,0.1,265,0.0,2022-01-01
Puducherry,408,0,8.7,8.8,-0.9,23,0.0,2022-01-01
Bihar,4551,225,85.6,73.0,0.9,276,0.48,2022-01-01
Jharkhand,1440,0,25.8,24.2,-3.2,87,1.34,2022-01-01
Odisha,5348,0,109.9,35.4,0.1,405,0.0,2022-01-01
Sikkim,99,0,1.5,1.3,0.3,61,0.0,2022-01-01
Arunachal Pradesh,145,0,2.4,2.4,0.1,41,0.0,2022-01-01
Assam,1604,0,26.8,21.2,0.2,109,0.0,2022-01-01
Manipur,191,0,2.6,2.7,0.1,41,0.0,2022-01-01
Meghalaya,365,0,6.3,5.2,0.0,49,0.0,2022-01-01
Mizoram,116,0,17.0,1.6,-0.2,14,0.0,2022-01-01
Nagaland,143,0,2.2,2.4,-0.2,27,0.0,2022-01-01
Tripura,240,0,4.0,3.7,0.1,55,0.0,2022-01-01
Punjab,7182,0,131.6,74.2,2.1,91,0.0,2022-01-02
Haryana,6988,0,127.4,72.9,0.4,206,0.0,2022-01-02
Rajasthan,15034,0,267.5,78.7,-1.5,360,0.0,2022-01-02
Delhi,4470,0,70.5,58.7,-0.6,206,0.0,2022-01-02
NR UP,17953,0,318.2,92.8,0.0,446,0.0,2022-01-02
Uttarakhand,2239,0,40.2,27.7,0.2,180,0.0,2022-01-02
HP,1907,0,35.3,28.6,-0.3,147,0.0,2022-01-02
J&K(UT) & Ladakh(UT),2881,300,60.4,56.4,-0.8,262,4.65,2022-01-02
Chandigarh,233,0,3.8,3.8,0.0,40,0.0,2022-01-02
Chhattisgarh,3540,0,76.1,23.7,-0.1,349,0.0,2022-01-02
Gujarat,16595,219,346.5,184.6,4.6,893,1.95,2022-01-02
MP.,14062,0,266.4,166.4,-1.0,561,0.0,2022-01-02
WR Maharashtra,22712,0,458.7,123.5,3.5,617,0.0,2022-01-02
Goa,576,0,11.9,11.1,0.3,44,0.0,2022-01-02
DD,274,0,6.0,6.0,0.0,16,0.0,2022-01-02
DNH,766,0,17.6,17.5,0.1,44,0.0,2022-01-02
AMNSIL,15500,0,15.5,8.7,-8.7,376,0.0,2022-01-02
Andhra Pradesh,9242,0,170.7,67.4,-0.1,440,0.0,2022-01-02
Telangana,11050,0,197.8,87.9,-0.2,581,0.0,2022-01-02
SR Karnataka,11404,0,201.0,52.6,-0.9,576,0.0,2022-01-02
Tamil Nadu,12620,0,253.9,137.5,-2.6,639,0.0,2022-01-02
Puducherry,318,0,6.5,71.0,-0.7,53,0.0,2022-01-02
Bihar,4487,0,82.8,74.9,-0.3,277,0.99,2022-01-02
Jharkhand,1429,228,27.4,22.4,-0.4,266,3.4,2022-01-02
ER Odisha,5391,0,99.7,63.8,0.8,390,0.0,2022-01-02
Sikkim,96,0,1.5,1.9,-0.3,22,0.0,2022-01-02
Arunachal Pradesh,133,0,2.4,2.7,-0.4,6,0.0,2022-01-02
Assam,1365,0,23.7,18.4,-0.9,72,0.0,2022-01-02
Manipur,222,0,3.3,3.4,-0.1,34,0.0,2022-01-02
Mizoram,112,0,1.9,1.4,-0.2,15,0.0,2022-01-02
Nagaland,130,0,2.3,2.1,0.1,17,0.0,2022-01-02
Tripura,211,0,3.4,3.8,-0.3,21,0.0,2022-01-02
Central Sector,8386,13218,5602.0,1300.0,664.0,29169,41.0,2022-01-02
State Sector,9455,17536,9916.0,4268.0,112.0,41286,59.0,2022-01-02
Total,17841,30753,15518.0,5568.0,7716.0,70456,100.0,2022-01-02
