Date,Max Demand (Solar Hrs) (MW),Max Demand Time (Solar Hrs),Wind Contrib (MW),Solar Contrib (MW),VRE Contrib (MW),Max Demand (Non-Solar Hrs) (MW),Solar Contrib NonSolar (MW),VRE Contrib NonSolar (MW),Schedule MW,Actual MW,Deviation MW,Time1,Time2,MU_Schedule,MU_Actual,MU_Deviation,CUF %,Extra_1,Extra_2,Extra_3,Extra_4
2025-01-01,214654,10:11,6250,40290,46540,190660,5912,1189,5194,5170,1330,21,45,0,20,0,16.11,13.22,-2.89,10.61,23586
2025-01-01,214654,10:11,6250,40290,46540,190660,5912,1189,4328,4314,845,21,15,282,14,45,11.41,9.11,-2.3,8.77,5750
2025-01-02,215044,9:48,4402,37012,41415,201014,4649,293,5194,5170,991,0,0,0,20,0,12.07,10.07,-2.0,8.08,23586
2025-01-02,215044,9:48,4402,37012,41415,201014,4649,293,4328,4314,655,0,0,237,11,15,8.62,8.5,-0.12,8.18,5750
2025-01-03,221646,09:44,5316,36520,41836,200251,5222,266,5194,5170,594,23,0,0,20,0,8.45,7.62,-0.83,6.11,23586
2025-01-04,219312,09:49,3280,37871,41151,200685,3993,859,5194,5170,882,23,45,0,20,0,10.29,9.09,-1.2,7.29,23586
2025-01-05,213661,10:26,2706,39267,41973,191815,5289,581,5194,5170,1057,23,45,0,20,0,11.31,15.06,3.75,12.08,23586
2025-01-06,223964,10:32,5117,44796,49912,202787,7167,256,5194,5170,1270,1,15,0,20,0,15.17,21.89,6.72,17.56,23586
2025-01-06,223964,10:32,5117,44796,49912,202787,7167,256,4328,4314,774,22,30,309,11,45,8.16,15.25,7.1,14.68,5750
2025-01-07,228072,9:52,6658,37242,43899,206115,7290,660,5194,5170,1095,4,45,0,20,0,13.47,18.35,4.88,14.72,23586
2025-01-07,228072,9:52,6658,37242,43899,206115,7290,660,4328,4314,642,2,45,347,15,45,7.84,14.12,6.28,13.59,5750
2025-01-08,227199,9:44,4682,40465,45147,205138,5356,426,5194,5170,461,0,15,0,20,0,6.29,3.5,-2.79,2.81,23636
2025-01-08,227199,9:44,4682,40465,45147,205138,5356,426,4328,4314,461,0,15,158,16,15,3.13,3.5,0.37,3.37,5800
2025-01-09,226967,09:36,6304,38396,44700,204162,4563,220,5194,5170,1389,23,45,0,20,0,11.79,13.14,1.35,10.54,23636
2025-01-10,230846,10:26,5278,44265,49543,202952,4363,379,5194,5170,1391,0,0,0,20,0,19.79,19.05,-0.74,15.28,23586
2025-01-10,230846,10:26,5278,44265,49543,202952,4363,379,4328,4314,777,1,30,244,14,45,13.79,14.15,0.36,13.62,5750
2025-01-11,226006,10:19,5259,35429,40688,199568,3501,1361,5194,5170,1576,2,0,0,20,0,14.49,19.87,5.38,15.94,23636
2025-01-11,226006,10:19,5259,35429,40688,199568,3501,1361,4328,4314,878,2,0,208,10,45,8.96,13.96,5.0,13.44,5800
2025-01-12,214043,10:44,3648,34566,38214,192090,7870,213,5194,5170,1080,0,0,0,20,0,15.19,18.09,2.9,14.51,23636
2025-01-12,214043,10:44,3648,34566,38214,192090,7870,213,4328,4314,546,0,15,61,13,0,8.8,12.38,3.58,11.92,5800
2025-01-13,220650,10:52,6536,31751,38287,197589,9356,32,5194,5170,999,22,30,0,20,0,16.57,15.59,-0.98,12.51,23636
2025-01-13,220650,10:52,6536,31751,38287,197589,9356,32,4328,4314,438,22,45,58,11,45,9.63,9.18,-0.45,8.84,5800
2025-01-14,215557,09:40,8363,28072,36435,185642,9227,144,5194,5170,1395,23,45,0,20,0,18.14,19.75,1.61,15.84,23636
2025-01-14,215557,09:40,8363,28072,36435,185642,9227,144,4328,4314,686,23,45,97,14,0,10.46,11.51,1.05,11.08,5800
2025-01-15,216777,09:56,9355,30844,40199,193705,8997,527,5194,5170,1503,1,45,0,20,0,22.92,25.63,2.71,20.56,23586
2025-01-15,216777,09:56,9355,30844,40199,193705,8997,527,4328,4314,748,3,15,251,11,30,14.28,15.85,1.57,15.26,5750
2025-01-16,220355,09:54,8625,35420,44045,199601,7861,973,5194,5170,712,22,0,0,20,0,11.97,14.15,2.18,11.35,23636
2025-01-16,220355,09:54,8625,35420,44045,199601,7861,973,4328,4314,554,22,0,204,5,15,7.23,11.85,4.62,11.41,5800
2025-01-17,227245,10:30,9835,41449,51284,202194,10030,1061,5194,5170,1783,23,30,0,20,0,34.43,37.87,3.44,30.38,23636
2025-01-17,227245,10:30,9835,41449,51284,202194,10030,1061,4328,4314,1055,23,30,373,9,15,25.05,26.53,1.48,25.54,5800
2025-01-18,225118,09:58,6539,33174,39713,201275,5813,1091,5194,5170,1783,0,45,0,20,0,22.44,19.65,-2.79,15.76,23586
2025-01-19,218369,09:54,4036,32057,36093,190202,3905,945,5194,5170,1652,23,30,0,20,0,10.33,12.05,1.72,9.67,23586
2025-01-20,222178,10:23,3394,36824,40218,201690,3659,126,5194,5170,1626,0,0,0,20,0,15.63,16.85,1.22,13.52,23636
2025-01-21,226044,09:43,3906,38890,42796,203774,3405,203,5194,5170,1055,23,45,0,20,0,15.24,19.42,4.18,15.58,23586
2025-01-22,228085,9:56,4605,40422,45027,204842,4543,594,5194,5170,1621,21,0,0,20,0,16.76,20.53,3.77,16.47,23636
2025-01-22,228085,9:56,4605,40422,45027,204842,4543,594,4328,4314,804,21,0,263,12,0,10.54,13.78,3.24,13.27,5800
2025-01-23,227352,10:12,5994,44919,50913,205835,8753,83,5194,5170,1298,0,15,335,10,34,16.08,27.18,11.1,21.8,23636
2025-01-23,227352,10:12,5994,44919,50913,205835,8753,83,4328,4314,993,22,15,262,10,0,7.32,18.02,10.7,17.35,5800
2025-01-24,231215,09:53,6787,44042,50829,204667,9605,125,5194,5173,1164,3,45,0,20,0,18.52,22.15,3.63,17.77,23696
2025-01-25,229686,10:25,4821,52620,57442,205398,4764,912,5194,5173,602,0,15,0,20,0,9.59,4.8,-4.79,3.85,23686
2025-01-25,229686,10:25,4821,52620,57442,205398,4764,912,4328,4317,506,0,45,204,14,15,5.57,4.07,-1.5,3.92,5850
2025-01-26,217830,09:42,4846,45548,50394,184939,5607,462,5194,5173,352,20,0,0,20,0,7.23,3.97,-3.26,3.18,23586
2025-01-27,230451,09:46,3079,44865,47944,205662,3542,431,5194,5173,343,20,30,0,20,0,7.22,4.46,-2.76,3.58,23736
2025-01-27,230451,09:46,3079,44865,47944,205662,3542,431,4328,4317,308,23,30,194,14,0,3.81,3.26,-0.55,3.14,5900
2025-01-28,234950,09:50,2203,45448,47651,207230,2146,458,5194,5173,614,23,45,0,20,0,6.71,6.69,-0.02,5.37,23736
2025-01-29,237309,10:24,2631,50342,52973,206407,3548,20744,5194,5173,941,23,30,0,20,0,13.35,12.61,-0.74,10.12,23736
2025-01-30,234525,09:55,2487,38289,40776,207044,2361,18515,5194,5173,1002,3,45,0,20,0,13.31,21.02,7.71,16.86,23736
2025-01-31,236822,10:15,2321,40288,42609,206625,3312,19292,5194,5173,1092,23,45,0,20,0,8.93,9.66,0.73,7.75,23736
2025-02-01,232307,10:21,1908,45424,47332,204641,2788,18791,5194,5173,1985,21,45,0,20,0,22.96,20.67,-2.29,16.58,23736
2025-02-01,232307,10:21,1908,45424,47332,204641,2788,18791,4328,4317,1239,22,0,232,11,0,16.16,13.3,-2.86,12.8,5900
2025-02-02,224441,09:43,3381,41685,45066,193168,4632,427,5194,5173,2061,23,45,0,20,0,38.92,30.67,-8.25,24.6,23586
2025-02-02,224441,09:43,3381,41685,45066,193168,4632,427,4328,4317,1332,23,0,512,10,30,28.23,19.04,-9.19,18.33,5750
2025-02-03,231373,10:42,2366,51417,53783,204848,4390,4390,5194,5173,2150,1,45,0,20,0,27.94,33.84,5.9,27.15,23736
2025-02-03,231373,10:42,2366,51417,53783,204848,4390,4390,4328,4317,1355,1,30,316,23,45,20.03,25.78,5.75,24.82,5900
2025-02-04,232077,10:31,5095,53252,58348,207338,4820,4820,5194,5173,447,0,0,0,20,0,9.0,4.0,-4.63,3.13,23912
2025-02-05,233358,10:14,3651,51057,54708,206871,5453,5453,5194,5173,425,23,15,0,20,0,6.86,4.03,-2.83,3.23,23912
2025-02-05,233358,10:14,3651,51057,54708,206871,5453,5453,4328,4317,351,23,0,83,15,0,3.17,3.06,-0.11,2.95,5844
2025-02-06,234136,9:57,8207,48763,56970,209094,9346,9346,5194,5173,1357,23,45,0,20,0,15.35,17.19,1.84,13.79,23912
2025-02-06,234136,9:57,8207,48763,56970,209094,9346,9346,4328,4317,994,23,30,154,17,30,9.04,11.58,2.54,11.15,5844
2025-02-07,228072,09:52,6658,37242,43899,206115,7290,7290,5194,5170,1095,4,45,0,20,0,13.47,18.35,4.88,14.72,23586
2025-02-08,234117,9:40,5008,44600,49608,206666,4478,4478,5194,5173,853,8,0,0,20,0,16.06,13.91,-2.15,11.16,23912
2025-02-08,234117,9:40,5008,44600,49608,206666,4478,4478,4328,4317,511,8,15,147,15,30,11.04,10.88,-0.16,10.47,5844
2025-02-09,228285,9:56,2570,45492,48062,195386,5629,5629,5194,5173,617,0,0,0,20,0,14.34,5.8,-8.54,4.65,23912
2025-02-09,228285,9:56,2570,45492,48062,195386,5629,5629,4328,4317,463,1,45,102,13,45,10.53,4.35,-6.18,4.19,5844
2025-02-10,234995,10:45,2429,48060,50489,205408,3812,3812,5194,5173,809,23,15,0,20,0,10.37,5.13,-5.24,4.12,23912
2025-02-10,234995,10:45,2429,48060,50489,205408,3812,3812,4328,4317,423,23,15,103,5,0,6.76,3.06,-3.7,2.95,5844
2025-02-11,234858,09:43,2875,43885,46759,207024,5066,5066,5194,5173,894,23,0,0,20,0,11.44,11.67,0.23,9.36,23912
2025-02-11,234858,09:43,2875,43885,46759,207024,5066,5066,4328,4317,465,23,30,113,9,45,6.25,7.58,1.33,7.3,5844
2025-02-12,236794,10:42,1744,54617,56362,207442,3819,3819,5194,5173,886,1,15,0,20,0,9.65,6.62,-3.03,5.31,23912
2025-02-12,236794,10:42,1744,54617,56362,207442,3819,3819,4328,4317,512,1,15,111,14,15,5.21,4.89,-0.32,4.71,5844
2025-02-13,234703,10:14,1956,51635,53590,207179,2849,2849,5194,5173,337,1,45,0,20,0,8.12,3.13,-4.99,2.51,24011
2025-02-13,234703,10:14,1956,51635,53590,207179,2849,2849,4328,4317,306,1,45,104,14,30,4.72,2.62,-2.1,2.52,5844
2025-02-14,234581,10:34,877,54704,55581,207185,4306,4306,5194,5173,1100,23,45,0,20,0,9.13,6.67,-2.46,5.35,23981
2025-02-14,234581,10:34,877,54704,55581,207185,4306,4306,4328,4317,739,23,45,130,10,30,4.62,3.63,-0.99,3.49,5844
2025-02-15,233860,10:28,3692,54615,58307,208072,5968,5968,5194,5173,1904,1,45,0,20,0,20.45,26.55,6.1,21.3,23981
2025-02-16,225222,10:12,2402,50411,52814,196286,6204,6204,5194,5173,1565,0,0,0,20,0,16.8,17.43,0.63,13.98,23981
