Date,Max Demand (Solar Hrs) (MW),Max Demand Time (Solar Hrs),Wind Contrib (MW),Solar Contrib (MW),VRE Contrib (MW),Max Demand (Non-Solar Hrs) (MW),Max Demand Time (Non-Solar Hrs),Wind Contrib NonSolar (MW),Solar Contrib NonSolar (MW),VRE Contrib NonSolar (MW)
2025-01-01,214654,10:11,6250,40290,46540,,190660,,5912,1189
2025-01-02,215044,9:48,4402,37012,41415,,201014,,4649,293
2025-01-03,221646,09:44,5316,36520,41836,,200251,,5222,266
2025-01-04,219312,09:49,3280,37871,41151,,200685,,3993,859
2025-01-05,213661,10:26,2706,39267,41973,,191815,,5289,581
2025-01-06,223964,10:32,5117,44796,49912,,202787,,7167,256
2025-01-07,228072,9:52,6658,37242,43899,,206115,,7290,660
2025-01-08,227199,9:44,4682,40465,45147,,205138,,5356,426
2025-01-09,226967,09:36,6304,38396,44700,,204162,,4563,220
2025-01-10,230846,10:26,5278,44265,49543,,202952,,4363,379
2025-01-11,226006,10:19,5259,35429,40688,,199568,,3501,1361
2025-01-12,214043,10:44,3648,34566,38214,,192090,,7870,213
2025-01-13,220650,10:52,6536,31751,38287,,197589,,9356,32
2025-01-14,215557,09:40,8363,28072,36435,,185642,,9227,144
2025-01-15,216777,09:56,9355,30844,40199,,193705,,8997,527
2025-01-16,220355,09:54,8625,35420,44045,,199601,,7861,973
2025-01-17,227245,10:30,9835,41449,51284,,202194,,10030,1061
2025-01-18,225118,09:58,6539,33174,39713,,201275,,5813,1091
2025-01-19,218369,09:54,4036,32057,36093,,190202,,3905,945
2025-01-20,222178,10:23,3394,36824,40218,,201690,,3659,126
2025-01-21,226044,09:43,3906,38890,42796,,203774,,3405,203
2025-01-22,228085,9:56,4605,40422,45027,,204842,,4543,594
2025-01-23,227352,10:12,5994,44919,50913,,205835,,8753,83
2025-01-24,231215,09:53,6787,44042,50829,,204667,,9605,125
2025-01-25,229686,10:25,4821,52620,57442,,205398,,4764,912
2025-01-26,217830,09:42,4846,45548,50394,,184939,,5607,462
2025-01-27,230451,09:46,3079,44865,47944,,205662,,3542,431
2025-01-28,234950,09:50,2203,45448,47651,,207230,,2146,458
2025-01-29,237309,10:24,2631,50342,52973,,206407,,3548,20744
2025-01-30,234525,09:55,2487,38289,40776,,207044,,2361,18515
2025-01-31,236822,10:15,2321,40288,42609,,206625,,3312,19292
2025-02-01,232307,10:21,1908,45424,47332,,204641,,2788,18791
2025-02-02,224441,09:43,3381,41685,45066,,193168,,4632,427
2025-02-03,231373,10:42,2366,51417,53783,,204848,,4390,4390
2025-02-04,232077,10:31,5095,53252,58348,,207338,,4820,4820
2025-02-05,233358,10:14,3651,51057,54708,,206871,,5453,5453
2025-02-06,234136,9:57,8207,48763,56970,,209094,,9346,9346
2025-02-07,228072,09:52,6658,37242,43899,,206115,,7290,7290
2025-02-08,234117,9:40,5008,44600,49608,,206666,,4478,4478
2025-02-09,228285,9:56,2570,45492,48062,,195386,,5629,5629
2025-02-10,234995,10:45,2429,48060,50489,,205408,,3812,3812
2025-02-11,234858,09:43,2875,43885,46759,,207024,,5066,5066
2025-02-12,236794,10:42,1744,54617,56362,,207442,,3819,3819
2025-02-13,234703,10:14,1956,51635,53590,,207179,,2849,2849
2025-02-14,234581,10:34,877,54704,55581,,207185,,4306,4306
2025-02-15,233860,10:28,3692,54615,58307,,208072,,5968,5968
2025-02-16,225222,10:12,2402,50411,52814,,196286,,6204,6204
2025-02-17,234284,10:29,2449,53513,55962,,207607,,4526,4526
2025-02-18,236166,10:25,2353,50051,52404,,207385,,3790,3790
2025-02-19,236800,10:30,1862,52337,54199,,208598,,5758,5758
2025-02-20,227682,09:52,2086,45094,47180,,205789,,4250,4250
2025-02-21,232390,9:46,3187,44173,47360,,206876,,4075,4075
2025-02-22,229826,9:45,2196,44760,46956,,205802,,2974,2974
2025-02-23,218010,09:49,2189,47505,49694,,196405,,4464,4464
2025-02-24,229873,09:51,4646,47770,52416,,206626,,6760,6760
2025-02-25,231406,9:41,6567,41038,47605,,206805,,5637,5637
2025-02-26,233736,09:42,6155,41899,48054,,201231,,6735,6735
2025-02-27,227523,10:40,5494,44753,50247,,206649,,7784,7784
2025-03-01,223488,09:44,4336,42674,47010,,202350,,5993,5993
2025-03-02,212879,10:25,2302,55576,57879,,193375,,3643,3643
2025-03-03,226800,10:30,3497,55999,59496,,205132,,7007,7007
2025-03-04,229569,9:53,11260,50339,61599,,209891,,8394,8394
2025-03-05,221972,9:25,8556,44809,53365,,206874,,5040,5040
2025-03-06,226229,9:53,1694,53563,55257,,205699,,3419,3419
2025-03-07,233009,10:59,726,62976,63703,,208141,,4680,4680
2025-03-08,229961,10:29,1175,57073,58249,,208566,,3852,3852
2025-03-09,223311,10:18,1474,55900,57374,,200129,,6421,6421
2025-03-10,233616,09:49,4670,50263,54934,,210379,,8293,8293
2025-03-11,235224,10:26,5087,50468,55555,,209365,,7689,7689
2025-03-12,233408,10:27,2311,51779,54090,,208603,,7073,7073
2025-03-13,230513,10:36,2517,57226,59743,,202933,,7285,7285
2025-03-14,199143,11:38,4889,61468,66357,,186697,,8354,8354
2025-03-15,209995,10:55,2603,58858,61461,,199002,,6515,6515
2025-03-16,209163,10:23,2833,55927,58760,,195628,,6178,6178
2025-03-17,222988,10:53,1486,60708,62194,,210185,,4023,4023
2025-03-18,223113,10:30,2972,57890,60862,,211498,,5956,5956
2025-03-19,226688,10:43,3165,59192,62357,,211808,,6105,6105
2025-03-20,225884,10:43,3628,57006,60634,,209570,,6462,6462
2025-03-21,226152,09:42,3509,48987,52496,,207222,,3519,3519
2025-03-22,218033,10:14,2466,56014,58480,,202559,,5785,5785
2025-03-23,204563,09:43,1736,49773,51509,,196917,,5129,5129
2025-03-24,220441,10:47,2682,60815,63497,,211051,,5045,5045
2025-03-25,221847,10:42,2265,59446,61710,,211016,,8010,8010
2025-03-26,215421,09:55,3151,53069,56220,,205600,,5792,5792
2025-03-27,224229,10:19,3967,58348,62315,,214112,,6989,6989
2025-03-28,221062,09:58,5412,56008,61420,,213880,,5041,5041
2025-03-29,215865,09:50,6779,53537,60315,,211111,,5847,5847
2025-03-30,215865,9:50,6779,53537,60315,,211111,,5847,5847
2025-03-31,215421,09:55,3151,53069,56220,,205600,,5792,5792
2025-04-01,216693,9:51,2776,51525,54301,,206621,,6661,6661
2025-04-02,213902,10:41,3770,58379,62149,,207231,,4626,4626
2025-04-03,213742,09:56,1570,49828,51398,,202916,,7620,7620
2025-04-04,205070,10:52,1548,60479,62027,,210238,,4602,4602
2025-04-05,207694,09:43,1998,49191,51189,,210820,,5615,5615
2025-04-06,199416,09:38,4217,49830,54047,,199375,,11285,11285
2025-04-07,215884,16:36,6090,33500,39591,,216332,,6986,6986
2025-04-08,221557,16:30,5315,34289,39604,,217255,,7356,7356
2025-04-09,223554,16:27,7241,34793,42034,,217906,,9463,9463
