Date,Schedule MW,Actual MW,Deviation MW,Time1,Time2,MU_Schedule,MU_Actual,MU_Deviation,CUF %,Extra_1,Extra_2,Extra_3,Extra_4
2025-01-01,5194,5170,1330,21,45,0,20,00,16.11,13.22,-2.89,10.61,23586
2025-01-01,4328,4314,845,21,15,282,14,45,11.41,9.11,-2.30,8.77,5750
2025-01-02,5194,5170,991,0,00,0,20,00,12.07,10.07,-2.00,8.08,23586
2025-01-02,4328,4314,655,00,00,237,11,15,8.62,8.50,-0.12,8.18,5750
2025-01-03,5194,5170,594,23,00,0,20,00,8.45,7.62,-0.83,6.11,23586
2025-01-04,5194,5170,882,23,45,0,20,00,10.29,9.09,-1.20,7.29,23586
2025-01-05,5194,5170,1057,23,45,0,20,00,11.31,15.06,3.75,12.08,23586
2025-01-06,5194,5170,1270,1,15,0,20,00,15.17,21.89,6.72,17.56,23586
2025-01-06,4328,4314,774,22,30,309,11,45,8.16,15.25,7.10,14.68,5750
2025-01-07,5194,5170,1095,4,45,0,20,00,13.47,18.35,4.88,14.72,23586
2025-01-07,4328,4314,642,02,45,347,15,45,7.84,14.12,6.28,13.59,5750
2025-01-08,5194,5170,461,0,15,0,20,00,6.29,3.50,-2.79,2.81,23636
2025-01-08,4328,4314,461,00,15,158,16,15,3.13,3.50,0.37,3.37,5800
2025-01-09,5194,5170,1389,23,45,0,20,00,11.79,13.14,1.35,10.54,23636
2025-01-10,5194,5170,1391,00,00,0,20,00,19.79,19.05,-0.74,15.28,23586
2025-01-10,4328,4314,777,01,30,244,14,45,13.79,14.15,0.36,13.62,5750
2025-01-11,5194,5170,1576,02,00,0,20,00,14.49,19.87,5.38,15.94,23636
2025-01-11,4328,4314,878,02,00,208,10,45,8.96,13.96,5.00,13.44,5800
2025-01-12,5194,5170,1080,00,00,0,20,00,15.19,18.09,2.90,14.51,23636
2025-01-12,4328,4314,546,00,15,61,13,00,8.80,12.38,3.58,11.92,5800
2025-01-13,5194,5170,999,22,30,0,20,00,16.57,15.59,-0.98,12.51,23636
2025-01-13,4328,4314,438,22,45,58,11,45,9.63,9.18,-0.45,8.84,5800
2025-01-14,5194,5170,1395,23,45,0,20,00,18.14,19.75,1.61,15.84,23636
2025-01-14,4328,4314,686,23,45,97,14,00,10.46,11.51,1.05,11.08,5800
2025-01-15,5194,5170,1503,01,45,0,20,00,22.92,25.63,2.71,20.56,23586
2025-01-15,4328,4314,748,03,15,251,11,30,14.28,15.85,1.57,15.26,5750
2025-01-16,5194,5170,712,22,00,0,20,00,11.97,14.15,2.18,11.35,23636
2025-01-16,4328,4314,554,22,00,204,05,15,7.23,11.85,4.62,11.41,5800
2025-01-17,5194,5170,1783,23,30,0,20,00,34.43,37.87,3.44,30.38,23636
2025-01-17,4328,4314,1055,23,30,373,09,15,25.05,26.53,1.48,25.54,5800
2025-01-18,5194,5170,1783,00,45,0,20,00,22.44,19.65,-2.79,15.76,23586
2025-01-19,5194,5170,1652,23,30,0,20,00,10.33,12.05,1.72,9.67,23586
2025-01-20,5194,5170,1626,00,00,0,20,00,15.63,16.85,1.22,13.52,23636
2025-01-21,5194,5170,1055,23,45,0,20,00,15.24,19.42,4.18,15.58,23586
2025-01-22,5194,5170,1621,21,00,0,20,00,16.76,20.53,3.77,16.47,23636
2025-01-22,4328,4314,804,21,00,263,12,00,10.54,13.78,3.24,13.27,5800
2025-01-23,5194,5170,1298,00,15,335,10,34,16.08,27.18,11.10,21.80,23636
2025-01-23,4328,4314,993,22,15,262,10,00,7.32,18.02,10.70,17.35,5800
2025-01-24,5194,5173,1164,03,45,0,20,00,18.52,22.15,3.63,17.77,23696
2025-01-25,5194,5173,602,00,15,0,20,00,9.59,4.80,-4.79,3.85,23686
2025-01-25,4328,4317,506,00,45,204,14,15,5.57,4.07,-1.50,3.92,5850
2025-01-26,5194,5173,352,20,00,0,20,00,7.23,3.97,-3.26,3.18,23586
2025-01-27,5194,5173,343,20,30,0,20,00,7.22,4.46,-2.76,3.58,23736
2025-01-27,4328,4317,308,23,30,194,14,00,3.81,3.26,-0.55,3.14,5900
2025-01-28,5194,5173,614,23,45,0,20,00,6.71,6.69,-0.02,5.37,23736
2025-01-29,5194,5173,941,23,30,0,20,00,13.35,12.61,-0.74,10.12,23736
2025-01-30,5194,5173,1002,03,45,0,20,00,13.31,21.02,7.71,16.86,23736
2025-01-31,5194,5173,1092,23,45,0,20,00,8.93,9.66,0.73,7.75,23736
2025-02-01,5194,5173,1985,21,45,0,20,00,22.96,20.67,-2.29,16.58,23736
2025-02-01,4328,4317,1239,22,00,232,11,00,16.16,13.30,-2.86,12.80,5900
2025-02-02,5194,5173,2061,23,45,0,20,00,38.92,30.67,-8.25,24.60,23586
2025-02-02,4328,4317,1332,23,00,512,10,30,28.23,19.04,-9.19,18.33,5750
2025-02-03,5194,5173,2150,01,45,0,20,00,27.94,33.84,5.90,27.15,23736
2025-02-03,4328,4317,1355,01,30,316,23,45,20.03,25.78,5.75,24.82,5900
2025-02-04,5194,5173,447,00,00,0,20,00,9,4,-4.63,3.13,23912
2025-02-05,5194,5173,425,23,15,0,20,00,6.86,4.03,-2.83,3.23,23912
2025-02-05,4328,4317,351,23,00,83,15,00,3.17,3.06,-0.11,2.95,5844
2025-02-06,5194,5173,1357,23,45,0,20,00,15.35,17.19,1.84,13.79,23912
2025-02-06,4328,4317,994,23,30,154,17,30,9.04,11.58,2.54,11.15,5844
2025-02-07,5194,5170,1095,04,45,0,20,00,13.47,18.35,4.88,14.72,23586
2025-02-08,5194,5173,853,8,00,0,20,00,16.06,13.91,-2.15,11.16,23912
2025-02-08,4328,4317,511,08,15,147,15,30,11.04,10.88,-0.16,10.47,5844
2025-02-09,5194,5173,617,0,00,0,20,00,14.34,5.80,-8.54,4.65,23912
2025-02-09,4328,4317,463,01,45,102,13,45,10.53,4.35,-6.18,4.19,5844
2025-02-10,5194,5173,809,23,15,0,20,00,10.37,5.13,-5.24,4.12,23912
2025-02-10,4328,4317,423,23,15,103,05,00,6.76,3.06,-3.70,2.95,5844
2025-02-11,5194,5173,894,23,00,0,20,00,11.44,11.67,0.23,9.36,23912
2025-02-11,4328,4317,465,23,30,113,09,45,6.25,7.58,1.33,7.30,5844
2025-02-12,5194,5173,886,01,15,0,20,00,9.65,6.62,-3.03,5.31,23912
2025-02-12,4328,4317,512,01,15,111,14,15,5.21,4.89,-0.32,4.71,5844
2025-02-13,5194,5173,337,1,45,0,20,00,8.12,3.13,-4.99,2.51,24011
2025-02-13,4328,4317,306,01,45,104,14,30,4.72,2.62,-2.10,2.52,5844
2025-02-14,5194,5173,1100,23,45,0,20,00,9.13,6.67,-2.46,5.35,23981
2025-02-14,4328,4317,739,23,45,130,10,30,4.62,3.63,-0.99,3.49,5844
2025-02-15,5194,5173,1904,01,45,0,20,00,20.45,26.55,6.10,21.30,23981
2025-02-16,5194,5173,1565,00,00,0,20,00,16.80,17.43,0.63,13.98,23981
2025-02-16,4328,4317,867,00,45,121,10,45,10.52,12.04,1.52,11.59,5844
2025-02-17,5194,5173,1565,00,00,0,20,00,15.32,11.22,-4.10,9.00,23981
2025-02-18,5194,5173,1178,01,45,0,20,00,15.44,16.56,1.12,13.28,24227
2025-02-18,4328,4317,867,00,45,121,10,45,10.52,12.85,2.33,12.37,5844
2025-02-19,5194,5173,1046,17,00,0,20,00,17.16,22.01,4.85,17.66,24227
2025-02-19,4328,4317,867,00,45,121,10,45,10.52,15.24,4.72,14.67,5844
2025-02-20,5194,5173,1259,23,45,0,20,00,15.62,11.79,-3.83,9.46,24227
2025-02-20,4328,4317,867,00,45,121,10,45,10.52,7.84,-2.68,7.55,5844
2025-02-21,5194,5173,1675,0,15,0,20,00,26.01,31.96,5.95,25.64,23981
2025-02-21,4328,4317,948,00,00,278,13,30,18.08,22.41,4.33,21.57,5844
2025-02-22,5194,5173,1526,8,00,0,20,00,19.17,21.55,2.38,17.29,23981
2025-02-22,4328,4317,869,08,00,248,18,00,12.28,15.05,2.77,14.49,5844
2025-02-23,5194,5173,1221,08,30,0,20,00,14.54,11.16,-3.38,8.95,23981
2025-02-23,4328,4317,661,08,30,122,13,15,9.48,6.60,-2.88,6.35,5844
2025-02-24,5194,5173,1186,04,30,0,20,00,14.90,15.89,0.99,12.75,23981
2025-02-24,4328,4317,652,07,45,105,16,30,9.54,11.43,1.89,11.00,5844
2025-02-25,5194,5173,757,6,00,0,20,00,13.59,14.50,0.91,11.63,23981
2025-02-25,4328,4317,462,22,15,132,17,30,8.39,9.95,1.56,9.58,5844
2025-02-26,5194,5173,1042,08,15,0,20,00,14.85,19.86,5.01,15.93,23981
2025-02-27,5194,5173,967,15,30,0,20,00,14.10,13.72,-0.38,11.01,23981
2025-02-27,4328,4317,681,07,30,273,20,30,8.19,9.44,1.25,9.09,5844
2025-03-01,5194,5173,1784,23,00,0,20,00,16.04,17.60,1.56,14.12,23981
2025-03-01,4328,4317,1124,23,00,122,09,00,9.70,10.57,0.87,10.18,5844
2025-03-02,5194,5173,1697,0,00,0,20,00,20.58,23.07,2.49,18.51,23981
2025-03-02,4328,4317,1074,00,00,236,19,45,13.81,15.96,2.15,15.37,5844
2025-03-03,5194,5173,2067,23,00,0,20,00,35.10,44.47,9.37,35.67,23981
2025-03-03,4328,4317,1346,23,00,427,00,15,24.90,31.67,6.77,30.49,5844
2025-03-04,5194,5174,2284,7,45,0,20,00,37.60,41.72,4.12,33.47,24215
2025-03-04,4328,4318,1487,07,45,507,18,30,28.27,32.19,3.92,30.99,5844
2025-03-05,5194,5174,1813,2,30,0,20,00,13.38,18.02,4.64,14.46,24215
2025-03-05,4328,4318,1093,02,30,286,23,45,7.68,13.22,5.54,12.73,5844
