location,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cloudcover_mean,shortwave_radiation_sum
Ahmedabad,2022-01-01,26.9,15.9,0.0,14.7,31,14.73
Ahmedabad,2022-01-02,27.8,16.2,0.0,12.4,9,14.48
Ahmedabad,2022-01-03,28.3,17.2,0.0,13.7,22,15.13
Ahmedabad,2022-01-04,28.8,17.7,0.0,9.6,23,14.97
Ahmedabad,2022-01-05,29.3,18.4,0.0,21.6,68,11.95
Ahmedabad,2022-01-06,20.3,15.8,4.7,10.0,85,3.28
Ahmedabad,2022-01-07,25.4,13.6,0.1,11.9,26,13.64
Ahmedabad,2022-01-08,22.8,13.1,0.1,13.0,5,15.91
Ahmedabad,2022-01-09,21.8,10.2,0.0,11.9,0,16.5
Ahmedabad,2022-01-10,22.6,10.5,0.0,14.9,0,16.35
Ahmedabad,2022-01-11,22.0,11.2,0.0,15.3,0,16.64
Ahmedabad,2022-01-12,21.8,10.2,0.0,15.5,0,16.59
Ahmedabad,2022-01-13,22.9,10.8,0.0,16.2,0,16.51
Ahmedabad,2022-01-14,24.1,10.8,0.0,16.6,0,16.45
Ahmedabad,2022-01-15,24.7,11.8,0.0,16.1,0,16.52
Ahmedabad,2022-01-16,26.0,13.2,0.0,16.2,0,16.58
Ahmedabad,2022-01-17,26.9,13.6,0.0,13.7,0,16.36
Ahmedabad,2022-01-18,27.3,13.8,0.0,11.2,0,16.44
Ahmedabad,2022-01-19,28.1,14.1,0.0,11.5,0,16.42
Ahmedabad,2022-01-20,28.2,15.1,0.0,14.2,1,16.51
Ahmedabad,2022-01-21,28.5,16.3,0.1,15.7,18,14.84
Ahmedabad,2022-01-22,26.9,17.4,0.2,27.0,23,15.87
Ahmedabad,2022-01-23,21.7,11.8,0.0,13.7,0,17.74
Ahmedabad,2022-01-24,22.3,7.9,0.0,9.7,0,17.93
Ahmedabad,2022-01-25,23.0,9.8,0.0,11.6,0,17.76
Ahmedabad,2022-01-26,23.2,9.6,0.0,11.5,0,18.03
Ahmedabad,2022-01-27,23.9,11.7,0.0,15.1,0,18.16
Ahmedabad,2022-01-28,24.6,11.2,0.0,16.3,0,18.46
Ahmedabad,2022-01-29,26.7,10.5,0.0,12.5,0,18.49
Ahmedabad,2022-01-30,27.4,10.3,0.0,11.9,0,18.55
Ahmedabad,2022-01-31,27.4,11.5,0.0,10.2,0,18.13
Ahmedabad,2022-02-01,29.5,14.4,0.0,9.6,0,18.09
Ahmedabad,2022-02-02,29.8,13.9,0.0,12.2,0,18.55
Ahmedabad,2022-02-03,27.8,16.2,0.0,16.5,0,18.81
Ahmedabad,2022-02-04,26.7,11.8,0.0,11.2,0,19.44
Ahmedabad,2022-02-05,27.3,13.4,0.0,10.4,0,19.31
Ahmedabad,2022-02-06,28.9,12.0,0.0,9.7,0,19.4
Ahmedabad,2022-02-07,28.5,13.4,0.0,13.5,0,19.15
Ahmedabad,2022-02-08,28.5,14.8,0.0,10.1,2,19.0
Ahmedabad,2022-02-09,28.3,17.7,0.0,14.8,14,18.64
Ahmedabad,2022-02-10,27.9,16.2,0.0,16.9,0,19.54
Ahmedabad,2022-02-11,27.3,15.2,0.0,20.0,0,20.13
Ahmedabad,2022-02-12,28.7,13.7,0.0,13.5,0,20.4
Ahmedabad,2022-02-13,29.5,13.2,0.0,12.5,0,20.24
Ahmedabad,2022-02-14,30.1,14.5,0.0,10.5,4,19.87
Ahmedabad,2022-02-15,29.9,15.8,0.0,11.6,1,20.14
Ahmedabad,2022-02-16,30.7,16.6,0.0,12.9,1,20.08
Ahmedabad,2022-02-17,31.4,16.3,0.0,13.2,6,19.86
Ahmedabad,2022-02-18,31.6,17.3,0.0,13.0,4,20.14
Ahmedabad,2022-02-19,32.8,18.9,0.0,16.9,0,20.41
Ahmedabad,2022-02-20,31.9,17.0,0.0,14.8,0,21.2
Ahmedabad,2022-02-21,33.1,17.9,0.0,13.0,0,20.91
Ahmedabad,2022-02-22,33.4,16.5,0.0,14.3,0,21.24
Ahmedabad,2022-02-23,32.2,17.7,0.0,10.9,0,21.34
Ahmedabad,2022-02-24,33.4,18.6,0.0,12.1,0,21.59
Ahmedabad,2022-02-25,33.8,16.3,0.0,10.3,0,21.79
Ahmedabad,2022-02-26,32.7,17.2,0.0,11.6,0,21.68
Ahmedabad,2022-02-27,33.3,17.1,0.0,12.9,0,21.78
Ahmedabad,2022-02-28,33.2,20.2,0.0,20.3,0,21.64
Ahmedabad,2022-03-01,34.1,18.1,0.0,11.9,0,21.73
Ahmedabad,2022-03-02,34.4,18.7,0.0,14.2,2,21.47
Ahmedabad,2022-03-03,34.3,19.7,0.0,14.6,0,22.24
Ahmedabad,2022-03-04,33.0,18.9,0.0,22.0,0,22.54
Ahmedabad,2022-03-05,33.7,19.5,0.0,18.9,0,22.8
Ahmedabad,2022-03-06,34.8,16.9,0.0,11.2,27,22.56
Ahmedabad,2022-03-07,36.0,18.5,0.0,12.6,27,22.16
