location,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cloudcover_mean,shortwave_radiation_sum
Delhi,2022-01-01,18.2,5.8,0.0,9.7,8,12.43
Delhi,2022-01-02,18.9,6.9,0.0,9.1,65,11.64
Delhi,2022-01-03,20.2,7.5,0.0,10.4,28,12.4
Delhi,2022-01-04,22.1,8.1,0.2,9.3,56,10.87
Delhi,2022-01-05,15.0,11.6,9.6,20.5,99,2.18
Delhi,2022-01-06,18.7,12.1,0.9,20.4,78,6.68
Delhi,2022-01-07,20.0,12.8,1.9,19.7,66,6.45
Delhi,2022-01-08,17.2,14.1,16.2,21.8,82,5.05
Delhi,2022-01-09,17.1,10.5,3.6,14.0,72,5.7
Delhi,2022-01-10,16.9,8.0,0.0,11.8,5,12.89
Delhi,2022-01-11,17.5,7.4,0.0,13.1,2,12.84
Delhi,2022-01-12,17.2,7.7,0.0,10.1,41,10.92
Delhi,2022-01-13,17.5,7.3,0.0,6.4,36,11.7
Delhi,2022-01-14,16.6,6.2,0.0,11.2,33,11.42
Delhi,2022-01-15,16.8,5.9,0.0,9.8,25,13.22
Delhi,2022-01-16,15.8,5.9,0.0,8.6,63,12.18
Delhi,2022-01-17,14.1,4.7,0.0,6.7,61,9.42
Delhi,2022-01-18,16.2,5.4,0.0,11.5,50,12.0
Delhi,2022-01-19,17.8,6.6,0.7,10.1,54,12.05
Delhi,2022-01-20,17.8,9.4,0.9,7.6,40,11.88
Delhi,2022-01-21,18.4,7.3,0.0,11.3,45,13.22
Delhi,2022-01-22,16.1,11.9,22.8,31.8,91,4.79
Delhi,2022-01-23,16.7,9.3,3.5,12.1,63,7.88
Delhi,2022-01-24,16.3,7.1,0.6,12.6,11,12.57
Delhi,2022-01-25,16.4,6.2,0.0,13.6,23,12.27
Delhi,2022-01-26,16.9,6.4,0.0,16.6,11,13.07
Delhi,2022-01-27,17.8,7.0,0.0,21.1,0,14.85
Delhi,2022-01-28,17.9,7.1,0.0,21.3,0,15.14
Delhi,2022-01-29,19.5,6.9,0.0,12.9,0,15.06
Delhi,2022-01-30,20.3,9.0,0.0,20.3,0,15.29
Delhi,2022-01-31,21.0,8.2,0.0,9.8,0,15.22
Delhi,2022-02-01,20.9,8.7,0.0,14.1,18,14.41
Delhi,2022-02-02,20.6,9.0,0.0,20.4,13,15.55
Delhi,2022-02-03,15.1,10.4,16.6,32.2,76,6.87
Delhi,2022-02-04,16.5,8.3,0.2,19.1,41,11.1
Delhi,2022-02-05,16.7,5.7,0.0,10.2,28,13.76
Delhi,2022-02-06,20.5,7.5,0.0,10.0,0,16.18
Delhi,2022-02-07,22.3,8.3,0.0,11.2,18,15.87
Delhi,2022-02-08,22.2,10.7,1.4,9.7,16,14.95
Delhi,2022-02-09,18.6,10.4,3.6,13.9,51,11.55
