location,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cloudcover_mean,shortwave_radiation_sum
Guwahati,2022-01-01,23.4,11.9,0.0,8.9,53,11.46
Guwahati,2022-01-02,23.7,11.7,0.0,8.0,36,12.52
Guwahati,2022-01-03,23.6,12.3,0.0,6.8,38,12.03
Guwahati,2022-01-04,23.3,11.5,0.0,8.7,8,11.94
Guwahati,2022-01-05,23.5,11.6,0.0,9.1,26,11.35
Guwahati,2022-01-06,23.9,12.0,0.0,6.7,11,12.27
Guwahati,2022-01-07,24.7,12.3,0.0,7.3,1,12.33
Guwahati,2022-01-08,24.9,12.0,0.0,6.6,0,12.47
Guwahati,2022-01-09,24.9,12.9,0.0,7.1,32,12.39
Guwahati,2022-01-10,25.2,13.6,0.0,7.0,12,12.39
Guwahati,2022-01-11,24.2,14.5,0.0,6.5,83,10.39
Guwahati,2022-01-12,22.9,16.1,11.3,8.4,92,10.52
Guwahati,2022-01-13,21.5,13.4,0.0,9.8,45,11.32
Guwahati,2022-01-14,20.1,12.4,0.0,9.2,88,7.71
Guwahati,2022-01-15,22.5,12.1,0.0,10.2,40,12.0
Guwahati,2022-01-16,22.6,11.4,0.0,7.2,0,12.72
Guwahati,2022-01-17,22.6,11.0,0.0,9.0,18,12.91
Guwahati,2022-01-18,22.3,11.7,0.2,10.4,75,10.42
Guwahati,2022-01-19,23.6,12.1,0.0,7.0,25,12.14
Guwahati,2022-01-20,21.4,12.3,9.1,9.6,81,9.2
Guwahati,2022-01-21,21.2,12.7,2.2,11.9,37,12.43
Guwahati,2022-01-22,20.8,12.1,1.1,8.3,35,12.01
Guwahati,2022-01-23,19.7,12.7,0.3,9.0,84,7.75
Guwahati,2022-01-24,21.5,13.4,0.2,14.3,60,10.47
Guwahati,2022-01-25,22.2,11.2,0.0,7.6,18,12.6
Guwahati,2022-01-26,21.1,13.2,3.0,8.2,46,11.21
Guwahati,2022-01-27,19.4,13.8,1.0,10.7,48,9.33
Guwahati,2022-01-28,18.8,10.2,0.0,10.6,17,13.96
Guwahati,2022-01-29,19.8,8.4,0.0,7.4,10,14.26
Guwahati,2022-01-30,20.6,10.9,0.0,7.6,8,13.9
Guwahati,2022-01-31,21.3,9.7,1.8,8.3,27,13.9
Guwahati,2022-02-01,19.5,11.0,10.4,10.7,56,11.7
Guwahati,2022-02-02,20.4,11.2,0.0,12.0,47,12.31
Guwahati,2022-02-03,22.2,10.7,0.2,10.5,27,14.29
Guwahati,2022-02-04,16.5,12.6,27.7,16.9,88,3.63
Guwahati,2022-02-05,19.2,11.9,12.0,20.0,76,9.77
Guwahati,2022-02-06,19.3,8.8,0.0,6.9,27,13.73
Guwahati,2022-02-07,20.5,11.1,1.3,12.1,58,13.58
Guwahati,2022-02-08,19.7,13.0,0.7,8.2,51,11.84
Guwahati,2022-02-09,21.4,11.1,0.0,6.9,25,13.6
Guwahati,2022-02-10,21.2,10.9,0.3,8.3,63,11.83
Guwahati,2022-02-11,20.7,14.3,1.1,11.5,55,11.52
Guwahati,2022-02-12,21.0,12.6,0.9,9.1,13,14.13
Guwahati,2022-02-13,22.6,10.4,0.0,10.0,0,15.62
Guwahati,2022-02-14,24.6,11.1,0.0,9.3,4,15.74
Guwahati,2022-02-15,25.1,11.3,0.0,5.8,5,15.68
Guwahati,2022-02-16,24.7,13.4,0.0,9.5,10,15.16
Guwahati,2022-02-17,24.8,14.2,0.0,8.1,4,15.69
Guwahati,2022-02-18,24.7,12.2,0.0,8.3,11,15.53
Guwahati,2022-02-19,24.8,13.3,0.0,13.4,1,15.68
Guwahati,2022-02-20,23.9,13.8,2.3,11.7,28,14.97
Guwahati,2022-02-21,20.3,11.8,3.2,15.3,35,13.82
Guwahati,2022-02-22,23.4,12.2,0.0,12.0,27,14.63
Guwahati,2022-02-23,24.8,11.8,0.0,10.7,32,14.17
Guwahati,2022-02-24,25.9,13.7,0.0,8.6,47,12.78
Guwahati,2022-02-25,26.2,14.5,10.2,12.9,61,12.1
Guwahati,2022-02-26,25.5,13.5,0.0,8.8,14,13.87
Guwahati,2022-02-27,26.0,13.2,0.0,8.0,20,13.51
Guwahati,2022-02-28,25.0,14.0,4.4,12.3,25,12.11
Guwahati,2022-03-01,27.3,15.3,0.0,10.1,28,13.64
Guwahati,2022-03-02,28.4,14.8,0.0,8.0,5,13.81
Guwahati,2022-03-03,28.8,15.9,0.0,8.5,5,13.16
Guwahati,2022-03-04,29.0,16.4,0.0,10.9,2,14.44
Guwahati,2022-03-05,28.7,16.5,0.0,9.7,21,14.3
Guwahati,2022-03-06,30.2,15.0,0.0,10.5,0,14.27
