location,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cloudcover_mean,shortwave_radiation_sum
Kolkata,2022-01-01,23.5,13.9,0.0,12.2,20,14.36
Kolkata,2022-01-02,23.8,13.3,0.0,11.8,31,14.4
Kolkata,2022-01-03,23.7,12.8,0.0,10.3,20,14.61
Kolkata,2022-01-04,23.7,12.3,0.0,10.9,5,14.82
Kolkata,2022-01-05,24.4,12.1,0.0,10.7,0,14.92
Kolkata,2022-01-06,25.0,12.1,0.0,10.7,0,14.52
Kolkata,2022-01-07,26.0,14.0,0.0,9.5,0,14.53
Kolkata,2022-01-08,26.9,15.2,0.0,9.7,3,14.57
Kolkata,2022-01-09,27.2,14.4,0.0,9.0,0,14.68
Kolkata,2022-01-10,27.5,15.5,0.0,7.9,25,14.29
Kolkata,2022-01-11,27.6,16.6,12.9,14.8,76,12.36
Kolkata,2022-01-12,24.1,16.8,1.3,8.2,78,9.91
Kolkata,2022-01-13,25.7,15.2,0.0,9.5,30,13.13
Kolkata,2022-01-14,22.4,14.8,4.9,10.9,95,5.55
Kolkata,2022-01-15,23.5,15.1,0.2,12.5,51,10.68
Kolkata,2022-01-16,22.8,14.1,0.0,16.0,1,15.27
Kolkata,2022-01-17,22.5,11.4,0.0,10.8,0,15.53
Kolkata,2022-01-18,22.2,11.4,0.0,10.7,22,15.19
Kolkata,2022-01-19,22.3,12.6,0.0,11.0,9,15.6
Kolkata,2022-01-20,22.8,12.0,0.0,10.0,8,15.51
Kolkata,2022-01-21,24.7,13.1,0.6,8.2,23,14.22
Kolkata,2022-01-22,24.3,15.0,3.0,15.3,30,12.09
Kolkata,2022-01-23,25.3,15.7,8.9,10.5,63,8.24
Kolkata,2022-01-24,22.1,15.9,0.9,11.6,63,7.23
Kolkata,2022-01-25,24.5,13.6,0.0,8.4,37,14.4
Kolkata,2022-01-26,24.1,16.1,1.6,19.8,38,12.5
Kolkata,2022-01-27,23.2,13.2,0.0,12.1,6,16.36
Kolkata,2022-01-28,21.2,12.0,0.0,13.9,5,16.67
Kolkata,2022-01-29,21.7,10.8,0.0,14.0,0,17.0
Kolkata,2022-01-30,23.2,10.1,0.0,10.5,0,17.17
Kolkata,2022-01-31,25.9,11.9,0.0,11.5,4,16.97
Kolkata,2022-02-01,26.7,14.7,0.0,12.3,12,16.33
Kolkata,2022-02-02,27.8,14.5,0.0,10.1,25,16.8
Kolkata,2022-02-03,28.5,17.4,0.0,14.2,30,15.5
Kolkata,2022-02-04,25.5,16.5,14.9,18.6,58,6.36
Kolkata,2022-02-05,23.0,15.3,0.0,14.8,21,17.73
Kolkata,2022-02-06,23.1,11.6,0.0,11.7,11,17.93
Kolkata,2022-02-07,24.5,11.8,0.0,9.8,9,17.76
Kolkata,2022-02-08,26.0,14.1,0.0,10.0,7,17.31
Kolkata,2022-02-09,27.5,15.0,0.0,11.8,8,16.8
Kolkata,2022-02-10,25.3,16.0,0.9,13.1,46,9.1
