location,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cloudcover_mean,shortwave_radiation_sum
Rewa,2022-01-01,19.7,9.0,0.0,8.3,49,13.62
Rewa,2022-01-02,20.5,8.3,0.0,8.9,43,14.08
Rewa,2022-01-03,21.2,8.3,0.0,9.9,19,14.68
Rewa,2022-01-04,23.1,9.0,0.0,9.2,1,14.98
Rewa,2022-01-05,24.9,9.9,0.0,13.5,32,14.7
Rewa,2022-01-06,21.6,14.1,0.0,15.0,80,11.12
Rewa,2022-01-07,24.3,13.3,1.3,16.9,54,13.23
Rewa,2022-01-08,26.7,14.4,0.6,19.6,44,12.79
Rewa,2022-01-09,17.4,14.7,31.7,14.4,73,1.84
Rewa,2022-01-10,20.6,12.3,0.1,12.4,31,10.7
Rewa,2022-01-11,19.4,13.3,1.0,11.0,90,6.65
Rewa,2022-01-12,19.8,10.1,0.0,13.2,39,10.59
Rewa,2022-01-13,19.4,9.0,0.0,9.7,16,15.3
Rewa,2022-01-14,20.4,8.7,0.0,12.7,47,14.16
Rewa,2022-01-15,19.0,9.8,0.0,12.3,48,11.59
Rewa,2022-01-16,18.9,7.4,0.0,9.7,8,15.27
Rewa,2022-01-17,19.3,6.6,0.0,9.4,4,16.06
Rewa,2022-01-18,17.9,6.8,0.0,9.0,39,12.78
Rewa,2022-01-19,18.3,5.9,0.0,8.7,44,14.15
Rewa,2022-01-20,21.4,6.7,0.9,11.2,31,15.32
Rewa,2022-01-21,22.1,12.5,0.4,14.8,28,14.76
Rewa,2022-01-22,20.5,11.6,4.8,14.3,59,7.58
Rewa,2022-01-23,23.4,14.0,1.9,10.9,41,14.6
Rewa,2022-01-24,20.3,13.1,0.0,14.0,76,11.92
Rewa,2022-01-25,18.2,8.6,0.0,11.6,32,14.35
Rewa,2022-01-26,18.0,9.1,0.0,12.8,20,13.91
Rewa,2022-01-27,18.0,6.6,0.0,15.8,3,17.23
Rewa,2022-01-28,19.1,6.8,0.0,13.0,2,17.5
Rewa,2022-01-29,20.7,6.2,0.0,10.8,0,17.66
Rewa,2022-01-30,24.0,8.2,0.0,15.7,0,17.71
Rewa,2022-01-31,25.1,9.0,0.0,10.5,0,17.6
Rewa,2022-02-01,25.8,9.6,0.0,16.1,0,17.69
Rewa,2022-02-02,25.5,11.9,0.0,11.9,1,17.55
Rewa,2022-02-03,29.6,13.3,0.0,25.7,9,17.42
Rewa,2022-02-04,21.4,11.2,0.0,23.2,6,18.0
Rewa,2022-02-05,22.5,8.9,0.0,17.1,0,18.28
Rewa,2022-02-06,23.4,8.5,0.0,10.8,0,18.52
Rewa,2022-02-07,25.8,9.7,0.0,15.5,0,18.69
Rewa,2022-02-08,27.7,12.1,0.0,13.4,1,18.41
Rewa,2022-02-09,27.4,15.1,1.1,20.5,35,14.12
Rewa,2022-02-10,23.1,12.5,0.0,16.3,37,15.28
Rewa,2022-02-11,22.9,10.1,0.0,17.1,1,19.35
Rewa,2022-02-12,23.5,8.9,0.0,13.9,0,19.61
Rewa,2022-02-13,24.5,9.3,0.0,11.2,0,19.77
Rewa,2022-02-14,25.1,9.3,0.0,10.9,0,19.69
Rewa,2022-02-15,25.8,11.3,0.0,14.3,1,19.36
Rewa,2022-02-16,27.0,12.4,0.0,16.2,8,19.43
Rewa,2022-02-17,27.1,11.8,0.0,12.6,0,20.14
Rewa,2022-02-18,27.6,12.3,0.0,12.1,0,20.09
Rewa,2022-02-19,28.9,14.4,0.0,19.9,31,17.3
Rewa,2022-02-20,26.6,14.9,0.0,23.0,9,20.33
Rewa,2022-02-21,26.7,13.7,0.0,15.7,0,20.55
Rewa,2022-02-22,29.0,12.4,0.0,13.8,0,20.41
Rewa,2022-02-23,31.7,16.1,0.0,15.1,4,20.3
Rewa,2022-02-24,30.6,17.3,0.8,18.0,57,16.33
Rewa,2022-02-25,28.5,16.4,0.0,12.3,10,20.33
Rewa,2022-02-26,29.6,15.5,0.0,16.9,11,19.33
Rewa,2022-02-27,30.7,17.0,0.0,19.0,12,19.24
Rewa,2022-02-28,27.9,15.6,0.0,10.7,2,20.1
Rewa,2022-03-01,28.2,15.8,0.0,14.9,0,21.46
Rewa,2022-03-02,28.4,12.8,0.0,10.5,0,21.56
Rewa,2022-03-03,30.5,14.2,0.0,9.6,1,21.49
Rewa,2022-03-04,31.1,15.7,0.0,14.0,3,20.88
Rewa,2022-03-05,30.0,16.6,0.0,18.4,0,21.96
Rewa,2022-03-06,29.3,14.0,0.0,10.7,0,22.22
Rewa,2022-03-07,30.9,15.3,0.0,10.5,19,22.13
Rewa,2022-03-08,31.3,16.1,0.0,17.6,49,21.38
Rewa,2022-03-09,32.0,16.4,0.0,15.2,12,22.18
Rewa,2022-03-10,31.9,18.1,0.0,15.0,9,21.0
Rewa,2022-03-11,31.8,16.9,0.0,16.3,0,22.15
Rewa,2022-03-12,32.1,16.6,0.0,14.8,0,22.65
Rewa,2022-03-13,32.9,15.8,0.0,11.2,0,23.14
Rewa,2022-03-14,34.9,17.9,0.0,12.5,0,22.72
Rewa,2022-03-15,35.0,18.8,0.0,14.4,0,22.78
Rewa,2022-03-16,37.2,20.2,0.0,22.3,7,22.36
Rewa,2022-03-17,35.8,20.5,0.0,9.1,2,22.77
Rewa,2022-03-18,36.5,22.7,0.0,12.7,55,22.58
Rewa,2022-03-19,37.7,23.1,0.0,15.7,18,22.55
Rewa,2022-03-20,38.2,23.7,0.0,19.6,6,21.65
Rewa,2022-03-21,38.0,21.8,0.0,19.1,9,21.32
Rewa,2022-03-22,37.2,20.7,0.0,19.7,3,22.7
Rewa,2022-03-23,36.7,19.7,0.0,19.4,7,23.97
Rewa,2022-03-24,37.3,21.0,0.0,20.9,32,17.19
Rewa,2022-03-25,38.7,23.1,0.0,22.9,40,22.1
Rewa,2022-03-26,36.8,21.8,0.0,24.1,0,24.25
Rewa,2022-03-27,37.7,20.0,0.0,19.1,0,24.76
Rewa,2022-03-28,38.6,20.1,0.0,16.3,0,24.8
Rewa,2022-03-29,39.4,22.1,0.0,15.5,7,24.88
Rewa,2022-03-30,39.9,21.7,0.0,13.9,2,24.89
Rewa,2022-03-31,40.2,23.2,0.0,15.0,0,24.78
Rewa,2022-04-01,40.6,22.4,0.0,21.3,0,24.95
Rewa,2022-04-02,39.2,23.9,0.0,13.9,0,24.85
Rewa,2022-04-03,39.5,23.3,0.0,14.8,0,25.27
Rewa,2022-04-04,40.8,22.3,0.0,19.0,0,25.61
Rewa,2022-04-05,40.0,22.3,0.0,15.8,0,25.49
Rewa,2022-04-06,40.2,22.2,0.0,16.6,7,25.46
Rewa,2022-04-07,40.1,22.3,0.0,14.8,33,25.29
Rewa,2022-04-08,40.7,23.0,0.0,16.4,0,25.84
Rewa,2022-04-09,42.0,23.3,0.0,23.7,0,25.69
Rewa,2022-04-10,42.3,24.2,0.0,21.1,0,25.61
Rewa,2022-04-11,41.9,24.2,0.0,14.4,33,25.58
Rewa,2022-04-12,42.2,24.0,0.0,17.9,90,24.38
Rewa,2022-04-13,41.2,26.3,0.0,16.6,60,22.64
Rewa,2022-04-14,41.6,25.4,0.0,24.4,22,25.51
Rewa,2022-04-15,41.4,24.6,0.0,21.2,1,25.52
Rewa,2022-04-16,40.7,24.1,0.0,15.1,19,23.37
Rewa,2022-04-17,41.7,24.4,0.0,17.8,4,26.2
Rewa,2022-04-18,42.6,24.4,0.0,17.8,5,25.24
Rewa,2022-04-19,42.9,26.0,0.0,19.5,5,23.44
Rewa,2022-04-20,42.3,26.6,0.0,19.4,5,25.74
Rewa,2022-04-21,41.5,25.7,0.0,25.0,16,24.02
Rewa,2022-04-22,38.7,25.0,0.2,19.7,33,22.96
Rewa,2022-04-23,41.2,24.4,0.0,20.6,10,24.85
Rewa,2022-04-24,41.1,25.1,0.0,25.6,25,25.24
Rewa,2022-04-25,41.5,25.1,0.0,17.1,16,26.16
Rewa,2022-04-26,41.9,24.3,0.0,20.4,14,24.16
Rewa,2022-04-27,42.4,26.5,0.0,20.2,0,25.87
Rewa,2022-04-28,43.2,25.7,0.0,21.2,1,25.73
Rewa,2022-04-29,43.9,26.0,0.0,20.7,10,24.81
Rewa,2022-04-30,43.5,28.1,0.0,26.6,33,23.52
Rewa,2022-05-01,41.3,26.7,0.0,20.2,8,23.93
Rewa,2022-05-02,39.9,26.5,0.8,25.3,16,22.53
Rewa,2022-05-03,42.4,26.6,0.0,21.3,11,22.95
Rewa,2022-05-04,40.6,26.0,0.0,27.5,14,21.95
Rewa,2022-05-05,40.2,26.8,0.0,20.1,10,23.18
Rewa,2022-05-06,39.4,26.7,0.0,22.5,6,22.87
Rewa,2022-05-07,40.1,26.2,0.0,24.2,10,23.49
Rewa,2022-05-08,41.3,26.6,0.0,25.9,11,21.55
Rewa,2022-05-09,38.8,26.1,0.0,19.1,24,19.18
Rewa,2022-05-10,39.8,27.1,0.0,18.8,11,22.41
Rewa,2022-05-11,39.8,28.3,0.0,21.7,11,22.96
Rewa,2022-05-12,41.6,28.1,0.0,22.9,10,22.2
Rewa,2022-05-13,44.4,28.4,0.0,23.9,18,21.73
Rewa,2022-05-14,45.8,29.3,0.0,23.7,11,25.17
Rewa,2022-05-15,45.2,27.9,0.0,20.3,38,21.19
Rewa,2022-05-16,43.5,30.6,0.0,25.0,38,20.16
Rewa,2022-05-17,42.8,28.7,0.0,19.4,22,25.5
Rewa,2022-05-18,42.2,28.6,0.0,15.5,31,21.11
Rewa,2022-05-19,43.8,30.7,0.0,20.9,25,23.66
